#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S05787	5787	1961 OMI 242	D  P        	deb Ablestar 008	-	1961 Jun 29	S00118	1961 Jun 29 0608	Earth	1974 Aug 28	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 22	618	 	922	 	67.14	 	LEO/I	-	-
S05788	5788	1968-097DA	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1981 Sep  5	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1981 Apr 16	488	 	1150	 	62.79	 	LEO/I	-	-
S05789	5789	1968-097DB	D  W        	deb Kosmos-252 [*]	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1989 Sep 21	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1989 Sep 21	166	 	182	 	62.53	 	LLEO/I	-	-
S05790	5790	1968-097DC	D  W        	deb Kosmos-252	-	1968 Nov  1	S03530	1968 Nov  1 0402	Earth	1981 Aug 18	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 22	549	 	1954	 	62.25	 	LEO/I	-	-
S05791	5791	1969-082JT	D  P        	deb Agena D	-	1969 Sep 30	S04159	1969 Oct  4 1553	Earth	1977 Jan  3	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1980 Dec 23	592	 	690	 	69.76	 	LEO/I	-	-
S05792	5792	1969-082JU	D  P        	deb Agena D	-	1969 Sep 30	S04159	1969 Oct  4 1553	Earth	1972 Apr  5	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar 27	327	 	348	 	69.25	 	LLEO/I	-	-
S05793	5793	1969-082JV	D  P        	deb Agena D	-	1969 Sep 30	S04159	1969 Oct  4 1553	Earth	1972 Apr  8	R	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar 16	488	 	553	 	69.68	 	LLEO/I	-	-
S05794	5794	1969-082JW	D  P        	deb Agena D	-	1969 Sep 30	S04159	1969 Oct  4 1553	Earth	-	O	-	SAMSO	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  6	767	 	838	 	70.02	 	LEO/I	-	-
S05795	5795	1970-089CL	D  W        	deb Kosmos-374	-	1970 Oct 23	S04594	1970 Oct 23 1513	Earth	2009 Jan 17	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1992 Feb  6	492	 	1474	 	62.89	 	LEO/I	-	-
S05796	5796	1970-089CM	D  W        	deb Kosmos-374	-	1970 Oct 23	S04594	1970 Oct 23 1513	Earth	1972 Aug  6	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 29	462	 	1121	 	62.82	 	LEO/I	-	-
S05797	5797	1970-089CN	D  W        	deb Kosmos-374 [*]	-	1970 Oct 23	S04594	1970 Oct 23 1513	Earth	1974 May  5	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 21	510	 	1860	 	62.75	 	LEO/I	-	-
S05798	5798	1971-106T	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Mar  2	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb 25	201	 	663	 	65.59	 	LLEO/I	-	-
S05799	5799	1971-106U	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Mar 18	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Mar  9	188	 	582	 	65.7	 	LLEO/I	-	-
S05800	5800	1971-106V	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Mar  8	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 22	218	 	1324	 	65.74	 	LEO/I	-	-
S05801	5801	1971-106W	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1973 Feb  6	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 22	223	 	1721	 	65.76	 	LEO/I	-	-
S05802	5802	1971-106X	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Oct 29	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 22	223	 	1688	 	65.73	 	LEO/I	-	-
S05803	5803	1971-106Y	D  W        	deb Kosmos-462	-	1971 Dec  3	S05646	1971 Dec  3 1651	Earth	1972 Feb 26	R	-	PKO	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Feb 25	183	 	376	 	65.7	 	LLEO/I	-	-
S05804	5804	1972-004A	P           	Kosmos-472	DS-P1-Yu No. 52L	1972 Jan 25	S05805	1972 Jan 25 1121?	Earth	1972 Aug 18	R	-	PVO	SU	YUZH	DS-P1	-	200	 	200	 	200	 	1.2	?	1.2	?	1.2	?	Poly	1972 Feb 24	195	 	1417	 	81.99	 	LEO/I	-	-
S05805	5805	1972-004B	R2          	S1M	S1M	1972 Jan 25	R26698	1972 Jan 25 1120?	Earth	1972 May  6	R	-	RVSN	SU	YUZH	S1	-	840	 	840	 	840	 	8	 	1.6	 	8	 	Cyl	1972 Feb 24	192	 	1317	 	81.99	 	LEO/I	-	-
S05806	5806	1972-001F	C  F        	PDTU cover?	KDU part	1972 Jan 12	S05812	1972 Jan 25 0542?	Earth	1972 Jan 26	R	-	GUKOSR	SU	TSKBE3	Zenit deb	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1972 Jan 25	169	 	452	 	64.99	 	LLEO/I	-	-
S05807	5807	1959 ALP 3	C  K        	Vanguard II strap	-	1959 Feb 17	S00011	1959 Feb 17 1605	Earth	1982 Nov 22	R	-	BSC	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1977 Jan  1	549	 	3434	 	32.89	 	MEO	-	-
