#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S00812	812	1964-031A	P           	OPS 4467A	FTV 3508?	1964 Jun 18	S00815	1964 Jun 18 0551?	Earth	-	O	-	NRO/SAFSP	US	RCA	P35	-	50	 	50	 	50	 	0.5	 	0.6	 	0.6	 	Cyl	1964 Jul 19	829	 	836	 	99.82	 	LEO/S	-	-
S00813	813	1964-031B	P           	OPS 4467B	FTV 3509?	1964 Jun 18	S00815	1964 Jun 18 0551?	Earth	-	O	-	NRO/SAFSP	US	RCA	P35	-	50	 	50	 	50	 	0.5	 	0.6	 	0.6	 	Cyl	1964 Jul 25	828	 	839	 	99.83	 	LEO/S	-	-
S00814	814	1964-032A	P A         	OPS 3754	CORONA J-7	1964 Jun 19	A00493	1964 Jun 19 2324	Earth	1964 Jul 16 1845?	AR	-	NRO/CIA	US	LMSC	CORONA KH-4A	-	197	 	197	 	1547	 	2.1	 	1.3	 	2.1	 	Cyl	1964 Jun 30	180	 	430	 	85.02	 	LLEO/P	-	":C,:CC,NRO Mission 1007:CM,CORONA 81:CA"
S00815	815	1964-031C	R2          	Agena D 2304	Agena D	1964 Jun 18	R09511	1964 Jun 18 0550	Earth	-	O	-	AFSSD	US	LMSC	Agena D	-	600	 	600	 	600	 	6.3	 	1.5	 	6.3	 	Cyl	1990 Feb 18	806	 	825	 	99.82	 	LEO/S	-	-
S00816	816	1964-033A	P           	Kosmos-33	Zenit-2 No. 20L	1964 Jun 23	S00817	1964 Jun 23 1010?	Earth	1964 Jul  1 0840?	L	-	OKB1F3	SU	OKB1F3	Zenit-2	-	2100	 	2100	 	4700	 	6.5	?	2.4	?	6.5	?	Sphere + DCone	1964 Jul  2	209	 	267	 	65.03	 	LLEO/I	-	":C,:RC,11F61 No. R15001-02:RA"
S00817	817	1964-033B	R3          	8A92E	8A92E	1964 Jun 23	R09544	1964 Jun 23 1010?	Earth	1964 Jul 10	R	-	RVSN	SU	PROG	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1964 Jul  1	208	 	255	 	64.95	 	LLEO/I	-	-
S00818	818	1964-033C	C  X        	deb Kosmos-33	-	1964 Jun 23	S00816	1964 Jun 23 1010?	Earth	1964 Jun 24	R	-	OKB1F3	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jun 23	185	 	262	 	65.1	 	LLEO/I	-	-
S00819	819	1964-033D	C  X        	deb Kosmos-33	-	1964 Jun 23	S00816	1964 Jun 23 1010?	Earth	1964 Jun 24	R	-	OKB1F3	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jun 23	196	 	272	 	64.95	 	LLEO/I	-	-
S00820	820	1964-030B	C  F        	Starflash cover?	deb CORONA 9065A	1964 Jun 13	A00488	1964 Jun 13 1600?	Earth	1964 Aug  7	R	-	AFSSD	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1964 Jun 28	352	 	386	 	114.97	 	LLEO/R	-	-
S00821	821	1964-032B	C  F        	Fairing	Fairing	1964 Jun 19	A00493	1964 Jun 28 0112	Earth	1964 Jul  2	R	-	NRO/CIA	US	LMSC	SRV Adapter	-	25	?	25	?	25	?	0.8	 	1.3	 	1.3	 	Frust	1964 Jun 29	161	 	406	 	85.18	 	LLEO/P	-	-
S00822	822	1964-034A	P           	Kosmos-34	Zenit-4 No. 3L	1964 Jul  1	S00823	1964 Jul  1 1109?	Earth	1964 Jul  9 0935?	L	-	OKB1F3	SU	OKB1F3	Zenit-4	-	2200	?	2200	?	5650	?	6.5	?	2.4	?	6.5	?	Sphere + DCone	1964 Jul  3	201	 	345	 	64.89	 	LLEO/I	-	-
