#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S00001	1	1957 ALP 1	R2          	8K71A M1-10	8K71A M1-10 (M1-1PS)	1957 Oct  4	-	1957 Oct  4 1933	Earth	1957 Dec  1 1000?	R	-	OKB1	SU	OKB1	Blok-A	-	7790	 	7790	 	7800	?	28	 	2.6	 	28	 	Cyl	1957 Oct  4	214	 	938	 	65.1	 	LLEO/I	-	-
S00002	2	1957 ALP 2	P           	1-y ISZ	PS-1	1957 Oct  4	S00001	1957 Oct  4 1933	Earth	1958 Jan  4?	R	-	OKB1	SU	OKB1	PS	-	84	 	84	 	84	 	0.6	 	0.6	 	2.9	 	Sphere + Ant	1957 Oct  4	214	 	938	 	65.1	 	LLEO/I	-	":RE,:RC"
S00003	3	1957 BET 1	P A         	2-y ISZ	PS-2	1957 Nov  3	A00002	1957 Nov  3 0235	Earth	1958 Apr 14 0200?	AR	-	OKB1	SU	OKB1	PS	-	508	 	508	 	8308	?	2	 	1	 	2	 	Cone	1957 Nov  3	211	 	1659	 	65.33	 	LEO/I	-	":RE,:RC"
S00004	4	1958 ALP	P A         	Explorer I	Explorer 1	1958 Feb  1	A00004	1958 Feb  1 0355	Earth	1970 Mar 31 1045?	AR	-	ABMA/JPL	US	JPL	Explorer	-	8	 	8	 	14	 	0.8	 	0.1	 	0.8	 	Cyl	1958 Feb  1	359	 	2542	 	33.18	 	LEO/I	-	":UA,:UB,DEAL I:IA"
S00005	5	1958 BET 2	P           	Vanguard I	Vanguard Test Satellite H	1958 Mar 17	S00016	1958 Mar 17 1224	Earth	-	O	-	NRL	US	NRL	"NRL 6"""	-	2	 	2	 	2	 	0.1	 	0.1	 	0.1	 	Sphere	1959 May 23	657	 	3935	 	34.25	 	MEO	-	":UA,:VA"
S00006	6	1958 GAM	P A         	Explorer III	Explorer 3	1958 Mar 26	A00005	1958 Mar 26 1745	Earth	1958 Jun 28	AR	-	ABMA/JPL	US	JPL	Explorer	-	8	 	8	 	14	 	0.8	 	0.1	 	0.8	 	Cyl	1958 Mar 26	195	 	2810	 	33.38	 	LEO/I	-	":UA,:UB"
S00007	7	1958 DEL 1	R2          	8K74A	8K74A	1958 May 15	-	1958 May 15 0705	Earth	1958 Dec  3	R	-	OKB1	SU	OKB1	Blok-A	-	7790	 	7790	 	7820	?	28	 	2.6	 	28	 	Cyl	1958 May 15	214	 	1860	 	65.18	 	LEO/I	-	-
S00008	8	1958 DEL 2	P           	3-y Sovetskiy ISZ	D No. 2	1958 May 15	S00007	1958 May 15 0706	Earth	1960 Apr  6	R	-	OKB1	SU	OKB1	Object D	-	1327	 	1327	 	1327	 	3.6	 	1.7	 	3.6	 	Cone	1959 May  7	207	 	1247	 	65.12	 	LEO/I	-	":RE,:RC"
S00009	9	1958 EPS	P A         	Explorer IV	Explorer 4	1958 Jul 26	A00009	1958 Jul 26 1507	Earth	1959 Oct 23	AR	-	ABMA/JPL	US	JPL	Explorer	-	12	 	12	 	17	 	0.8	 	0.1	 	0.8	 	Cyl	1959 Apr 24	258	 	2233	 	50.4	 	LEO/I	-	":UA,:UB"
S00010	10	1958 ZET	P A         	SCORE	SCORE	1958 Dec 18	A00015	1958 Dec 18 2306	Earth	1959 Jan 21	AR	-	ARPA/SCEL	US	SCEL	SCORE	-	68	 	68	 	3718	 	2.5	?	1.5	?	2.5	 	Cone	1958 Dec 30	159	 	1187	 	32.29	 	LEO/I	-	":N,:N"
S00011	11	1959 ALP 1	P           	Vanguard II	Cloud cover satellite	1959 Feb 17	S00012	1959 Feb 17 1605	Earth	-	O	-	BSC	US	NRL	"NRL 20"""	-	10	 	10	 	10	 	0.5	 	0.5	 	0.5	 	Sphere	1959 May 15	564	 	3304	 	32.88	 	MEO	-	":UA,:VA,Vanguard Group II FU1:VB"
S00012	12	1959 ALP 2	R3          	GRC 33-KS-2800	GRC 33-KS-2800 175-15-21	1959 Feb 17	R02749	1959 Feb 17 1604	Earth	-	O	-	BSC	US	GCR	33-KS-2800	-	195	 	22	 	22	 	1.5	 	0.7	 	1.5	 	Cyl	1959 Apr 28	564	 	3679	 	32.88	 	MEO	-	-
S00013	13	1959 BET	P A         	Discoverer 1	CORONA Test Vehicle 2	1959 Feb 28	A00017	1959 Feb 28 2156	Earth	1959 Mar  5	AR	-	ARPA/CIA	US	LMSD	CORONA	-	78	?	78	?	668	?	2	 	1.5	 	2	 	Cone	1959 Feb 28	163	?	968	?	89.7	 	LLEO/P	-	":C,:CC,FTV 1022:UF,CORONA 1:CA"
S00014	14	1959 GAM	P A         	Discoverer 2	CORONA BIO 1	1959 Apr 13	A00021	1959 Apr 13 2126	Earth	1959 Apr 26	AR	-	ARPA/CIA	US	LMSD	CORONA	-	110	?	110	?	788	 	1.3	 	1.5	 	1.3	 	Frust	1959 Apr 13	239	 	346	 	89.9	 	LLEO/P	-	":C,:CC,FTV 1018:UF,CORONA 2:CA"
S00015	15	1959 DEL 1	P           	Explorer VI	Able III?	1959 Aug  7	S00017	1959 Aug  7 1430	Earth	1961 Jul  1	R?	-	GSFC	US	TRW	Able Probe	ARC 420	40	 	40	 	42	?	0.7	 	0.7	 	2.2	 	Sphere + 4 Pan	1959 Sep  8	250	 	42327	 	46.95	 	HEO	-	":UA,:UC,NASA S-2:NA2"
S00016	16	1958 BET 1	R3          	GRC 33-KS-2800	GRC 33-KS-2800  144-79-22	1958 Mar 17	R02064	1958 Mar 17 1223	Earth	-	O	-	NRL	US	GCR	33-KS-2800	-	195	 	22	 	22	 	1.5	 	0.7	 	1.5	 	Cyl	1959 Sep 30	653	 	4324	 	34.28	 	MEO	-	-
S00017	17	1959 DEL 2	R3          	Altair	Altair X-248	1959 Aug  7	A00024	1959 Aug  7 1428	Earth	1961 Jun 30	R?	-	AFBMD	US	ABL	Altair	-	24	 	24	 	24	 	1.5	 	0.5	 	1.5	 	Cyl	1961 Jan  8	197	 	40214	 	47.1	 	GTO	-	-
S00018	18	1959 EPS 1	P A         	Discoverer 5	CORONA C-2	1959 Aug 13	A00028	1959 Aug 13 1906	Earth	1959 Sep 28	AR	-	ARPA/CIA	US	LMSD	CORONA	-	140	 	140	 	730	 	1.3	 	1.5	 	1.3	 	Frust	1959 Aug 14	215	 	732	 	80	 	LLEO/I	-	":C,:CC,NRO Mission 9002:CM,CORONA 5:CA"
S00019	19	1959 ZET	P A         	Discoverer 6	CORONA C-3	1959 Aug 19	A00030	1959 Aug 19 1931	Earth	1959 Oct 20	AR	-	ARPA/CIA	US	LMSD	CORONA	-	132	 	132	 	810	 	1.3	 	1.5	 	1.3	 	Frust	1959 Aug 20	207	 	846	 	84	 	LLEO/I	-	":C,:CC,NRO Mission 9003:CM,CORONA 6:CA"
S00020	20	1959 ETA	P A         	Vanguard III	Magne-Ray satellite	1959 Sep 18	A00034	1959 Sep 18 0529	Earth	-	AO	-	GSFC	US	NRL	"NRL 20"""	-	23	 	23	 	47	 	1.2	 	0.5	 	1.2	 	Sphere + Ant	1959 Oct 27	521	 	3758	 	33.35	 	MEO	-	Vanguard Group V
S00021	21	1959 THE 1	P   D       	AMS Luna-3	E-2A	1959 Oct  4	A00035	1959 Oct  4 0055?	Earth	1959 Oct  4 1504	DSO	D00009	OKB1	SU	OKB1	E-2A	-	278	 	278	 	278	 	1.3	 	1.2	 	1.5	 	Ell	1959 Oct  5	-630	 	516120	 	65	 	CLO	-	-
S00022	22	1959 IOT 1	P           	Explorer 7	NASA S-1A	1959 Oct 13	S00023	1959 Oct 13 1539	Earth	-	O	-	GSFC	US	ABMA	S-1	-	41	 	41	 	41	 	0.8	 	0.8	 	7	 	DCone + 2 Ant	1959 Nov 17	560	 	1087	 	50.27	 	LEO/I	-	-
S00023	23	1959 IOT 2	R4          	Cluster 13 Assembly 4	RTV Motor	1959 Oct 13	R03267	1959 Oct 13 1539	Earth	1989 Jul 16	R	-	ABMA	US	JPL	RTV Motor	-	6	 	6	 	6	 	1.7	 	0.1	 	1.7	 	Cyl	1959 Nov 17	554	 	1088	 	50.3	 	LEO/I	-	-
S00024	24	1959 KAP	P A         	Discoverer 7	CORONA C-4	1959 Nov  7	A00036	1959 Nov  7 2035	Earth	1959 Nov 26 1900?	AR	-	ARPA/CIA	US	LMSD	CORONA	-	242	 	242	 	920	 	1.3	 	1.5	 	1.3	 	Frust	1959 Nov 15	155	 	664	 	81.64	 	LLEO/I	-	":C,:CC,NRO Mission 9004:CM,CORONA 7:CA"
S00025	25	1959 LAM	P A         	Discoverer 8	CORONA C-5	1959 Nov 20	A00039	1959 Nov 20 1931	Earth	1960 Mar  8 0115?	AR	-	CIA	US	LMSD	CORONA	-	157	 	157	 	835	 	1.3	 	1.5	 	1.3	 	Frust	1959 Dec 22	184	 	1394	 	80.65	 	LEO/I	-	":C,:CC,NRO Mission 9005:CM,CORONA 8:CA"
S00026	26	1959 EPS 2	PX-R---     	SRV 111	SRV	1959 Aug 13	S00018	1959 Aug 14 2142	Earth	1961 Feb 11	R	-	CIA	US	GEMSD	SRV Mk IIA	Star 10	123	 	123	 	140	 	0.8	 	0.7	 	0.8	 	Cone	1960 May  1	194	 	1531	 	78.94	 	LEO/I	-	-
S00027	27	1960 ALP 1	P   D       	Pioneer V	Able VI?	1960 Mar 11	A00042	1960 Mar 11 1305	Earth	1960 Mar 11 2300	DSO	D00011	NASAHQ/TRW	US	TRW	Able Probe	-	43	 	43	 	43	 	0.7	 	0.7	 	2.4	 	Sphere + 4 Pan	1960 Mar 11	-455	 	-142121	 	24.6	 	EEO	-	":UA,:UC,NASA P-2:NA,P-2:NA2"
S00028	28	1960 BET 1	R3          	Altair	Altair X-248	1960 Apr  1	R03645	1960 Apr  1 1151	Earth	1991 Jul  2	R	-	AFBMD	US	ABL	Altair	-	24	 	24	 	24	 	1.5	 	0.5	 	1.5	 	Cyl	1960 May  5	690	 	752	 	48.41	 	LEO/I	-	-
S00029	29	1960 BET 2	P           	Tiros 1	NASA A-1	1960 Apr  1	S00028	1960 Apr  1 1218	Earth	-	O	-	GSFC	US	RCA	Tiros	-	122	 	122	 	122	 	0.5	 	1.1	 	1.1	 	Cyl	1960 May  5	690	 	754	 	48.41	 	LEO/I	-	":N,:NA"
S00030	30	1960 GAM 1	R2          	Ablestar 002	AJ10-104	1960 Apr 13	R03657	1960 Apr 13 1228?	Earth	1961 Aug 18 0430?	R	-	AFBMD	US	AJ	Ablestar	-	650	?	600	 	600	?	4.8	 	1.4	 	4.8	 	Cyl	1960 May 16	319	 	726	 	51.29	 	LLEO/I	-	-
S00031	31	1960 GAM 2	P           	Transit I-B	Transit 1B	1960 Apr 13	S00030	1960 Apr 13 1228?	Earth	1967 Oct  5 0600?	R	-	ARPA/BUWEPS	US	APL	Transit 1	-	121	 	121	 	121	 	0.9	 	0.9	 	0.9	 	Sphere	1960 May 26	373	 	737	 	51.28	 	LLEO/I	-	-
S00032	32	1960 DEL	P A         	Discoverer 11	CORONA C-8	1960 Apr 15	A00046	1960 Apr 15 2036	Earth	1960 Apr 26 1730?	AR	-	AFBMD/CIA	US	LMSD	CORONA	-	103	 	103	 	781	 	1.3	 	1.5	 	1.3	 	Frust	1960 Apr 18	169	 	546	 	80.01	 	LLEO/I	-	":C,:CC,NRO Mission 9008:CM,CORONA 11:CA"
S00033	33	1960 GAM 3	PX-D---     	Dummy subsatellite	-	1960 Apr 13	S00031	1960 Apr 13 1230?	Earth	1960 Jul 17	R	-	APL	US	APL	Dummy	-	2	?	2	?	2	?	0.1	?	0.2	?	0.2	?	Disk?	1960 May 24	285	 	663	 	51.29	 	LLEO/I	-	-
S00034	34	1960 EPS 1	C  M        	Priborniy otsek	PO	1960 May 15	S00036	1960 May 18 2352	Earth	1962 Sep  5 0945?	R	Wisconsin	OKB1	SU	OKB1	Vostok PO	-	2600	 	2600	 	2600	 	2.5	 	2.7	 	2.5	 	DCone	1960 Jun 17	291	 	664	 	64.89	 	LLEO/I	-	-
S00035	35	1960 EPS 2	R3          	8K72E	8K72E	1960 May 15	R03713	1960 May 15 0011	Earth	1960 Jul 17 1945?	R	-	RVSN	SU	OKB1	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1960 Jun 24	288	 	288	 	64.89	 	LLEO/I	-	-
S00036	36	1960 EPS 3	PP-H        	Korabl'-Sputnik	Vostok-1P	1960 May 15	S00035	1960 May 15 0011	Earth	1965 Oct 15 1245?	R	-	OKB1	SU	OKB1	Vostok	-	2100	 	2100	 	4500	?	2.2	 	2.2	 	2.2	 	Sphere	1960 Jun 20	277	 	674	 	64.89	 	LLEO/I	-	1KP No. 1:RA2
S00037	37	1960 EPS 4	C  X        	Korabl'-Sputnik part	Vostok-1P part	1960 May 15	S00036	1960 May 18 2352	Earth	1961 Jun 30	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1960 Jul  2	282	 	667	 	64.89	 	LLEO/I	-	-
S00038	38	1960 EPS 5	C  X        	Korabl'-Sputnik part	Vostok-1P part	1960 May 15	S00036	1960 May 18 2352	Earth	1960 Oct  1	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1960 Jun 21	287	 	584	 	64.89	 	LLEO/I	-	-
S00039	39	1960 EPS 6	C  X        	Korabl'-Sputnik part	Vostok-1P part	1960 May 15	S00036	1960 May 18 2352	Earth	1960 Sep 24	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1960 Jul  2	282	 	579	 	64.89	 	LLEO/I	-	-
S00040	40	1960 EPS 7	C  X        	Korabl'-Sputnik part	Vostok-1P part	1960 May 15	S00036	1960 May 18 2352	Earth	1960 Sep 24	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1960 Jul  2	282	 	537	 	64.89	 	LLEO/I	-	-
S00041	41	1960 EPS 8	C  X        	Korabl'-Sputnik part	Vostok-1P part	1960 May 15	S00036	1960 May 18 2352	Earth	1960 Oct  1	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1960 Jun 21	271	 	691	 	64.89	 	LLEO/I	-	-
S00042	42	1960 EPS 9	C  X        	Korabl'-Sputnik part	Vostok-1P part	1960 May 15	S00036	1960 May 18 2352	Earth	1960 Oct  1	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1960 Jul  2	282	 	583	 	64.89	 	LLEO/I	-	-
S00043	43	1960 ZET 1	P A         	Midas 2	Midas ETS-I F2	1960 May 24	A00050	1960 May 24 1748	Earth	1974 Feb  7 2000?	AR	-	AFBMD	US	LMSD	Midas	-	1410	 	1410	 	2000	 	2.7	 	1.5	 	3	 	Irr	1960 Jun 26	482	 	514	 	33	 	LLEO/I	-	FTV 1007
S00044	44	1960 ZET 2	C  F        	Midas 2 Fairing	Midas 2 Fairing	1960 May 24	A00050	1960 May 24 1748	Earth	1960 Dec  5 0700?	R	-	AFBMD	US	LMSD	Agena Fairing	-	50	?	50	?	50	?	3	 	1.5	 	3	 	Cone	1960 Sep 16	454	 	454	 	33	 	LLEO/I	-	-
S00045	45	1960 ETA 1	P           	Transit II-A	Transit 2A	1960 Jun 22	S00047	1960 Jun 22 0619	Earth	-	O	-	BUWEPS	US	APL	Transit 1	-	100	 	100	 	100	 	0.9	 	0.9	 	0.9	 	Sphere	1960 Aug 10	626	 	1046	 	66.77	 	LEO/I	-	-
S00046	46	1960 ETA 2	P           	GREB	GRAB SV2	1960 Jun 22	S00045	1960 Jun 22 0620	Earth	1960 Oct  5	N	-	NRL	US	NRL	"NRL 20"""	-	19	 	19	 	19	 	0.3	 	0.3	 	0.3	 	Sphere	1960 Aug 17	614	 	1058	 	66.77	 	LEO/I	-	"Dyno 1,SR 1"
S00047	47	1960 ETA 3	R2          	Ablestar 003	AJ10-104	1960 Jun 22	R03794	1960 Jun 22 0619	Earth	-	O	-	AFBMD	US	AJ	Ablestar	-	670	?	600	 	600	?	4.8	 	1.4	 	4.8	 	Cyl	1960 Aug 18	616	 	1028	 	66.77	 	LEO/I	-	-
S00048	48	1960 THE	P A         	Discoverer 13	CORONA Diagnostic 2	1960 Aug 10	A00051	1960 Aug 10 2045	Earth	1960 Nov 14 2000?	AR	-	AFBMD/CIA	US	LMSD	CORONA	-	120	 	120	 	780	 	1.3	 	1.5	 	1.5	 	Frust	1960 Sep  9	245	 	614	 	82.85	 	LLEO/I	-	":C,:CC,FTV 1057:UF,CORONA 13:CA"
S00049	49	1960 IOT 1	P           	Echo 1	NASA A-11	1960 Aug 12	S00051	1960 Aug 12 1002?	Earth	1968 May 24 0045?	R	-	LARCN	US	SCHJ	Echo 100'	-	75	 	60	 	75	 	0.4	 	0.7	 	30	 	Sphere	1960 Aug 12	1517	 	1684	 	47.24	 	LEO/I	-	-
S00050	50	1960 IOT 2	R3          	Altair	Altair X-248-A5 S/N 3012	1960 Aug 12	R03997	1960 Aug 12 0959?	Earth	-	O	-	GSFC	US	ABL	Altair	-	24	 	24	 	24	 	1.5	 	0.5	 	1.5	 	Cyl	1960 Oct  9	1528	 	1659	 	47.28	 	LEO/I	-	-
S00051	51	1960 IOT 3	C  V        	A-11 Canister half	A-11	1960 Aug 12	S00050	1960 Aug 12 1001?	Earth	-	O	-	LARCN	US	KAIFW	Echo Canister	-	5	 	5	 	5	 	0.4	 	0.7	 	0.7	 	Dome	1960 Sep 18	1514	 	1689	 	47.2	 	LEO/I	-	-
S00052	52	1960 IOT 4	D  J        	Mylar piece?	-	1960 Aug 12	S00051	1960 Aug 12 1002?	Earth	-	OX	LOST	LARCN	US	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1976 Feb 28	1490	 	1714	 	47.15	 	LEO/I	-	-
S00053	53	1960 IOT 5	C  V        	A-11 Canister half	A-11	1960 Aug 12	S00050	1960 Aug 12 1001?	Earth	-	O	-	LARCN	US	KAIFW	Echo Canister	-	5	 	5	 	5	 	0.4	 	0.7	 	0.7	 	Dome	1960 Sep 18	1512	 	1705	 	47.2	 	LEO/I	-	-
S00054	54	1960 KAP	P A         	Discoverer 14	CORONA C-9	1960 Aug 18	A00054	1960 Aug 18 2003	Earth	1960 Sep 16 0030?	AR	-	AFBMD/CIA	US	LMSD	CORONA	-	120	 	120	 	810	 	1.3	 	1.5	 	1.5	 	Frust	1960 Aug 28	178	 	689	 	79.65	 	LLEO/I	-	":C,:CC,NRO Mission 9009:CM,CORONA 14:CA"
S00055	55	1960 LAM 1	PP-H        	Korabl'-Sputnik-2	Vostok-1 No. 2	1960 Aug 19	S00056	1960 Aug 19 0855	Earth	1960 Aug 20 0802	L	KRZ?	OKB1	SU	OKB1	Vostok	-	2100	 	2100	 	4580	 	6.5	?	2.4	?	6.5	?	Sphere + DCone	1960 Aug 19	307	 	307	 	64.9	 	LLEO/I	-	1K No. 2:RA2
S00056	56	1960 LAM 2	R3          	8K72E	8K72E	1960 Aug 19	R04017	1960 Aug 19 0855	Earth	1960 Sep 23 1345?	R	-	RVSN	SU	GAZ1	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1960 Aug 26	299	 	299	 	64.9	 	LLEO/I	-	-
S00057	57	1960 MU	P A         	Discoverer 15	CORONA C-10	1960 Sep 13	A00059	1960 Sep 13 2220	Earth	1960 Oct 18	AR	-	AFBMD/CIA	US	LMSD	CORONA	-	132	 	132	 	810	 	1.3	 	1.5	 	1.3	 	Frust	1960 Sep 23	200	 	659	 	80.9	 	LLEO/I	-	":C,:CC,NRO Mission 9010:CM,CORONA 15:CA"
S00058	58	1960 NU 1	P           	Courier 1B	Courier 1B	1960 Oct  4	S00059	1960 Oct  4 2038	Earth	-	O	-	SCEL	US	SCEL/PHLP	Courier	-	225	 	225	 	225	 	1.3	 	1.3	 	1.3	 	Sphere	1960 Nov  7	943	 	1236	 	28.3	 	LEO/I	-	-
S00059	59	1960 NU 2	R2          	Ablestar 005	AJ10-104	1960 Oct  4	R04161	1960 Oct  4 2038	Earth	-	O	-	AFBMD	US	AJ	Ablestar	-	600	 	600	 	600	 	4.8	 	1.4	 	4.8	 	Cyl	1960 Nov 22	950	 	1184	 	28.3	 	LEO/I	-	-
S00060	60	1960 XI 1	P           	Explorer 8	NASA S-30	1960 Nov  3	S00062	1960 Nov  3 0533	Earth	2012 Mar 28	R	-	GSFC	US	MSFC	S-1	-	41	 	41	 	41	 	0.9	 	0.9	 	6.1	 	DCone + Ant	1960 Dec  5	416	 	2286	 	49.98	 	LEO/I	-	-
S00061	61	1960 OMI	P A         	Discoverer 17	CORONA C'-2	1960 Nov 12	A00067	1960 Nov 12 2050	Earth	1960 Dec 29	AR	-	AFBMD/CIA	US	LMSD	CORONA	-	127	 	127	 	1037	 	1.3	 	1.5	 	1.5	 	Frust	1960 Nov 20	182	 	923	 	81.86	 	LLEO/I	-	":C,:CC,NRO Mission 9012:CM,CORONA 17:CA"
S00062	62	1960 XI 2	R4          	Cluster 17 Assembly 4	RTV Motor	1960 Nov  3	R04241	1960 Nov  3 0531	Earth	1985 Oct 27	R	-	MSFC	US	JPL	RTV Motor	-	6	 	6	 	6	 	1.7	 	0.1	 	1.7	 	Cyl	1960 Dec 13	416	 	2281	 	49.98	 	LEO/I	-	-
S00063	63	1960 PI 1	P           	Tiros 2	NASA A-2	1960 Nov 23	S00064	1960 Nov 23 1126	Earth	2014 May 18 0500?	R	-	GSFC	US	RCA	Tiros	-	122	 	122	 	122	 	0.5	 	1.1	 	1.1	 	Cyl	1960 Dec 23	608	 	743	 	48.57	 	LEO/I	-	":N,:NA,Tiros B:NB"
S00064	64	1960 PI 2	R3          	Altair	Altair X-248-A5 S/N 106	1960 Nov 23	R04313	1960 Nov 23 1126	Earth	1981 Sep 23	R	-	GSFC	US	ABL	Altair	-	24	 	24	 	24	 	1.5	 	0.5	 	1.5	 	Cyl	1961 Jan  4	608	 	737	 	48.57	 	LEO/I	-	-
S00065	65	1960 RHO 1	PP-H        	Korabl'-Sputnik-3	Vostok-1 No. 3	1960 Dec  1	S00066	1960 Dec  1 0741	Earth	1960 Dec  2 0912	D	-	OKB1	SU	OKB1	Vostok	-	2100	 	2100	 	4580	 	6.5	?	2.4	?	6.5	?	Sphere + DCone	1960 Dec  1	171	 	237	 	65	 	LLEO/I	-	1K No. 3:RA2
S00066	66	1960 RHO 2	R3          	8K72E	8K72E	1960 Dec  1	R04354	1960 Dec  1 0741	Earth	1960 Dec  2	R	-	RVSN	SU	GAZ1	Blok-E	-	1440	 	1440	 	1440	 	3.8	 	2.6	 	3.8	 	Cyl	1960 Dec  1	171	 	236	 	65	 	LLEO/I	-	-
S00067	67	1960 SIG	P A         	Discoverer 18	CORONA C'-3	1960 Dec  7	A00072	1960 Dec  7 2029	Earth	1961 Apr  2	AR	-	AFBMD/CIA	US	LMSD	CORONA	-	130	 	130	 	1040	 	1.3	 	1.5	 	1.5	 	Frust	1961 Jan 11	272	 	536	 	81.48	 	LLEO/I	-	":C,:CC,NRO Mission 9013:CM,CORONA 18:CA"
S00068	68	1960 TAU	P A         	Discoverer 19	CORONA RM-1	1960 Dec 20	A00076	1960 Dec 20 2040	Earth	1961 Jan 23	AR	-	AFBMD/ARPA	US	LMSD	CORONA	-	216	 	216	 	936	 	2	 	1.5	 	2	 	Cone	1960 Dec 27	206	 	578	 	83.4	 	LLEO/I	-	":C,:CC,DRM-1,RM-1 (Midas),CORONA 19:CA"
S00069	69	1960 XI 3	C  Y        	Explorer VIII despin weight	-	1960 Nov  3	S00060	1960 Nov  3 0531?	Earth	1970 Feb 16	R	-	GSFC	US	-	-	-	0	 	0	 	1	 	0	 	0	 	5.2	 	Cable + Mass	1961 Jan  4	395	 	2269	 	49.36	 	LEO/I	-	-
S00070	70	1961 ALP 1	P           	Samos 2 F-1	SAMOS F-1 No. 2	1961 Jan 31	S00079	1961 Feb  2 0515?	Earth	1973 Oct 21	R	-	AFBMD	US	LMSD	Samos	-	166	?	166	?	166	?	2	?	1.5	 	2	?	Cone	1961 Mar  2	474	 	553	 	97.4	 	LLEO/S	-	-
S00071	71	1961 BET 1	P A         	Tyazholiy Sputnik	1VA No. 1	1961 Feb  4	A00078	1961 Feb  4 0219	Earth	1961 Feb 26	AR	-	OKB1	SU	OKB1	1VA	-	620	 	620	 	5620	?	2	 	1	 	3	?	Cyl + Dome + Ant	1961 Feb 16	179	 	296	 	64.9	 	LLEO/I	-	-
S00072	72	1961 BET 2	R3          	8K78I	8K78I	1961 Feb  4	R04491	1961 Feb  4 0127	Earth	1961 Feb 13	R	-	RVSN	SU	PROG	Blok-I	-	2000	?	2000	?	2900	?	7.1	 	2.7	 	7.1	 	Cyl	1961 Feb  9	209	 	257	 	64.9	 	LLEO/I	-	-
S00073	73	1961 BET 3	C  M        	BOZ	BOZ	1961 Feb  4	A00078	1961 Feb  4 0218	Earth	1961 Mar 17	R	-	RVSN	SU	OKB1	BOZ	-	600	?	300	?	600	?	0.9	 	2.5	 	2.5	 	Irr	1961 Feb 16	227	 	312	 	64.89	 	LLEO/I	-	-
S00074	74	1960 PI 3	C  Y        	Tiros 2 despin weight	Despin weight	1960 Nov 23	S00063	1960 Nov 23 1126	Earth	1989 May 10	R	-	GSFC	US	RCA	-	-	1	?	1	?	1	?	3.5	 	0	 	3.5	 	Cable + Box	1961 Apr 29	611	 	734	 	48.52	 	LEO/I	-	-
S00075	75	1960 PI 4	C  Y        	Tiros 2 despin weight	Despin weight	1960 Nov 23	S00063	1960 Nov 23 1126	Earth	1990 Jan 25	R	-	GSFC	US	RCA	-	-	1	?	1	?	1	?	3.5	 	0	 	3.5	 	Cable + Box	1961 Mar 26	615	 	743	 	48.57	 	LEO/I	-	-
S00076	76	1961 GAM 2	R3          	8K78I	8K78I	1961 Feb 12	R04503	1961 Feb 12 0043	Earth	1961 Feb 18	R	-	RVSN	SU	PROG	Blok-I	-	2000	?	2000	?	2900	?	7.1	 	2.7	 	7.1	 	Cyl	1961 Feb 15	210	 	237	 	65.01	 	LLEO/I	-	-
S00077	77	1961 GAM 3	C  M        	BOZ	BOZ	1961 Feb 12	A00079	1961 Feb 12 0134	Earth	1961 Feb 25	R	-	RVSN	SU	OKB1	BOZ	-	600	?	300	?	600	?	0.9	 	2.5	 	2.5	 	Irr	1961 Feb 16	197	 	301	 	65.01	 	LLEO/I	-	-
S00078	78	1961 GAM 4	C  X        	deb Tyazhyoliy Sputnik	-	1961 Feb 12	A00079	1961 Feb 12 0134?	Earth	1961 Feb 18	R	-	OKB1	SU	-	-	-	0	 	0	 	0	 	0	 	0	 	0	 	-	1961 Feb 12	197	 	304	 	65.01	 	LLEO/I	-	-
S00079	79	1961 ALP 2	P A         	Samos 2	SAMOS E-1 No. 2	1961 Jan 31	A00077	1961 Jan 31 2031	Earth	1970 Oct  9 0515?	AR	-	AFBMD	US	LMSD	Agena A	-	1194	?	1194	?	1694	?	4	 	1.5	 	4	 	Cyl + 2 Pan	1961 Mar  2	474	 	553	 	97.4	 	LLEO/S	-	-
S00080	80	1961 GAM 1	P   D       	AMS Venera	1VA No. 2	1961 Feb 12	A00079	1961 Feb 12 0138	Earth	1961 Feb 14	DSO	D00016	OKB1	SU	OKB1	1VA	-	620	 	620	 	620	 	2	 	1	 	3	?	Cyl + Dome + Ant	1961 Feb 12	229	 	     Inf	 	65	 	EEO	-	-
